ayah_id,word_position,word,root_letters,root_id
2:8,2,لناس,,
2:8,3,من,,
2:8,4,يقول,قول,1418.0
2:8,5,ءامنا,,
2:8,6,بلله,بلل,166.0
2:8,7,وبليوم,وبل,1798.0
2:8,8,لءاخر,,
2:8,9,وما,,
2:8,10,هم,,
2:8,11,بمؤمنين,,
2:9,1,يخدعون,خدع,428.0
2:9,2,لله,,
2:9,3,ولذين,,
2:9,4,ءامنوا,منو,1609.0
2:9,5,وما,,
2:9,6,يخدعون,خدع,428.0
2:9,7,إلا,,
2:9,8,أنفسهم,نفس,1702.0
2:9,9,وما,,
2:9,10,يشعرون,شعر,884.0
2:10,1,فى,,
2:10,2,قلوبهم,,
2:10,3,مرض,مرض,1577.0
2:10,4,فزادهم,دهم,544.0
2:10,5,لله,,
2:10,6,مرضا,مرض,1577.0
2:10,7,ولهم,لهم,1548.0
2:10,8,عذاب,,
2:10,9,أليم,,
2:10,10,بما,,
2:10,11,كانوا,,
2:10,12,يكذبون,كذب,1439.0
2:11,1,وإذا,,
2:11,2,قيل,قيل,1422.0
2:11,3,لهم,لهم,1548.0
2:11,4,لا,,
2:11,5,تفسدوا,فسد,1279.0
2:11,6,فى,,
2:11,7,لأرض,,
2:11,8,قالوا,,
2:11,9,إنما,,
2:11,10,نحن,,
2:11,11,مصلحون,صلح,964.0
2:12,1,ألا,,
2:12,2,إنهم,,
2:12,3,هم,,
2:12,4,لمفسدون,فسد,1279.0
2:12,5,ولكن,,
2:12,6,لا,,
2:12,7,يشعرون,شعر,884.0
2:13,1,وإذا,,
2:13,2,قيل,قيل,1422.0
2:13,3,لهم,لهم,1548.0
2:13,4,ءامنوا,منو,1609.0
2:13,5,كما,,
2:13,6,ءامن,,
2:13,7,لناس,,
2:13,8,قالوا,,
2:13,9,أنؤمن,,
2:13,10,كما,,
2:13,11,ءامن,,
2:13,12,لسفهاء,سفه,797.0
2:13,13,ألا,,
2:13,14,إنهم,,
2:13,15,هم,,
2:13,16,لسفهاء,سفه,797.0
2:13,17,ولكن,,
2:13,18,لا,,
2:13,19,يعلمون,علم,1152.0
2:14,1,وإذا,,
2:14,2,لقوا,,
2:14,3,لذين,,
2:14,4,ءامنوا,منو,1609.0
2:14,5,قالوا,,
2:14,6,ءامنا,,
2:14,7,وإذا,,
2:14,8,خلوا,خلو,475.0
2:14,9,إلى,,
2:14,10,شيطينهم,طين,1061.0
2:14,11,قالوا,,
2:14,12,إنا,,
2:14,13,معكم,,
2:14,14,إنما,,
2:14,15,نحن,,
2:14,16,مستهزءون,,
2:15,1,لله,,
2:15,2,يستهزئ,,
2:15,3,بهم,,
2:15,4,ويمدهم,دهم,544.0
2:15,5,فى,,
2:15,6,طغينهم,,
2:15,7,يعمهون,هو,1783.0
2:16,1,أولئك,,
2:16,2,لذين,,
2:16,3,شتروا,,
2:16,4,لضللة,ضلل,1009.0
2:16,5,بلهدى,هدى,1756.0
2:16,6,فما,,
2:16,7,ربحت,ربح,583.0
2:16,8,تجرتهم,تجر,188.0
2:16,9,وما,,
2:16,10,كانوا,,
2:16,11,مهتدين,دين,551.0
2:17,1,مثلهم,مثل,1561.0
2:17,2,كمثل,مثل,1561.0
2:17,3,لذى,,
2:17,4,ستوقد,وقد,1853.0
2:17,5,نارا,,
2:17,6,فلما,,
2:17,7,أضاءت,,
2:17,8,ما,,
2:17,9,حوله,حول,406.0
2:17,10,ذهب,ذهب,572.0
2:17,11,لله,,
2:17,12,بنورهم,بنو,169.0
2:17,13,وتركهم,وتر,1800.0
2:17,14,فى,,
2:17,15,ظلمت,ظلم,1066.0
2:17,16,لا,,
2:17,17,يبصرون,بصر,130.0
2:18,1,صم,,
2:18,2,بكم,بكم,160.0
2:18,3,عمى,عمى,1161.0
2:18,4,فهم,فهم,1315.0
2:18,5,لا,,
2:18,6,يرجعون,رجع,597.0
2:19,1,أو,,
2:19,2,كصيب,,
2:19,3,من,,
2:19,4,لسماء,,
2:19,5,فيه,,
2:19,6,ظلمت,ظلم,1066.0
2:19,7,ورعد,رعد,631.0
2:19,8,وبرق,برق,115.0
2:19,9,يجعلون,جعل,275.0
2:19,10,أصبعهم,صبع,929.0
2:19,11,فى,,
2:19,12,ءاذانهم,,
2:19,13,من,,
2:19,14,لصوعق,صوع,981.0
2:19,15,حذر,حذر,329.0
2:19,16,لموت,موت,1613.0
2:19,17,ولله,,
2:19,18,محيط,,
2:19,19,بلكفرين,كفر,1462.0
2:20,1,يكاد,,
2:20,2,لبرق,برق,115.0
2:20,3,يخطف,خطف,462.0
2:20,4,أبصرهم,بصر,130.0
2:20,5,كلما,كلم,1471.0
2:20,6,أضاء,,
2:20,7,لهم,لهم,1548.0
2:20,8,مشوا,,
2:20,9,فيه,,
2:20,10,وإذا,,
2:20,11,أظلم,ظلم,1066.0
2:20,12,عليهم,,
2:20,13,قاموا,,
2:20,14,ولو,,
2:20,15,شاء,,
2:20,16,لله,,
2:20,17,لذهب,ذهب,572.0
2:20,18,بسمعهم,بسم,127.0
2:20,19,وأبصرهم,بصر,130.0
2:20,20,إن,,
2:20,21,لله,,
2:20,22,على,,
2:20,23,كل,,
2:20,24,شىء,,
2:20,25,قدير,,
2:21,1,يأيها,,
2:21,2,لناس,,
2:21,3,عبدوا,عبد,1073.0
2:21,4,ربكم,بكم,160.0
2:21,5,لذى,,
2:21,6,خلقكم,خلق,473.0
2:21,7,ولذين,,
2:21,8,من,,
2:21,9,قبلكم,قبل,1333.0
2:21,10,لعلكم,,
2:21,11,تتقون,,
2:22,1,لذى,,
2:22,2,جعل,جعل,275.0
2:22,3,لكم,,
2:22,4,لأرض,,
2:22,5,فرشا,فرش,1268.0
2:22,6,ولسماء,,
2:22,7,بناء,,
2:22,8,وأنزل,نزل,1656.0
2:22,9,من,,
2:22,10,لسماء,,
2:22,11,ماء,,
2:22,12,فأخرج,خرج,433.0
2:22,13,به,,
2:22,14,من,,
2:22,15,لثمرت,ثمر,230.0
2:22,16,رزقا,رزق,616.0
2:22,17,لكم,,
2:22,18,فلا,,
2:22,19,تجعلوا,جعل,275.0
2:22,20,لله,,
2:22,21,أندادا,,
2:22,22,وأنتم,,
2:22,23,تعلمون,علم,1152.0
2:23,1,وإن,,
2:23,2,كنتم,,
2:23,3,فى,,
2:23,4,ريب,ريب,679.0
2:23,5,مما,,
2:23,6,نزلنا,نزل,1656.0
2:23,7,على,,
2:23,8,عبدنا,عبد,1073.0
2:23,9,فأتوا,,
2:23,10,بسورة,سور,839.0
2:23,11,من,,
2:23,12,مثله,مثل,1561.0
2:23,13,ودعوا,دعو,523.0
2:23,14,شهداءكم,شهد,911.0
2:23,15,من,,
2:23,16,دون,دون,550.0
2:23,17,لله,,
2:23,18,إن,,
2:23,19,كنتم,,
2:23,20,صدقين,صدق,942.0
2:24,1,فإن,,
2:24,2,لم,,
2:24,3,تفعلوا,فعل,1297.0
2:24,4,ولن,,
2:24,5,تفعلوا,فعل,1297.0
2:24,6,فتقوا,فتق,1249.0
2:24,7,لنار,,
2:24,8,لتى,,
2:24,9,وقودها,,
2:24,10,لناس,,
2:24,11,ولحجارة,,
2:24,12,أعدت,,
2:24,13,للكفرين,كفر,1462.0
2:25,1,وبشر,بشر,128.0
2:25,2,لذين,,
2:25,3,ءامنوا,منو,1609.0
2:25,4,وعملوا,عمل,1158.0
2:25,5,لصلحت,صلح,964.0
2:25,6,أن,,
2:25,7,لهم,لهم,1548.0
2:25,8,جنت,,
2:25,9,تجرى,جرى,266.0
2:25,10,من,,
2:25,11,تحتها,تحت,189.0
2:25,12,لأنهر,,
2:25,13,كلما,كلم,1471.0
2:25,14,رزقوا,رزق,616.0
2:25,15,منها,,
2:25,16,من,,
2:25,17,ثمرة,ثمر,230.0
2:25,18,رزقا,رزق,616.0
2:25,19,قالوا,,
2:25,20,هذا,,
2:25,21,لذى,,
2:25,22,رزقنا,رزق,616.0
2:25,23,من,,
2:25,24,قبل,قبل,1333.0
2:25,25,وأتوا,,
2:25,26,به,,
2:25,27,متشبها,شبه,856.0
2:25,28,ولهم,لهم,1548.0
2:25,29,فيها,,
2:25,30,أزوج,زوج,727.0
2:25,31,مطهرة,,
2:25,32,وهم,,
2:25,33,فيها,,
2:25,34,خلدون,خلد,468.0
2:26,1,إن,,
2:26,2,لله,,
2:26,3,لا,,
2:26,4,يستحى,,
2:26,5,أن,,
2:26,6,يضرب,ضرب,997.0
2:26,7,مثلا,مثل,1561.0
2:26,8,ما,,
2:26,9,بعوضة,,
2:26,10,فما,,
2:26,11,فوقها,فوق,1322.0
2:26,12,فأما,,
2:26,13,لذين,,
2:26,14,ءامنوا,منو,1609.0
2:26,15,فيعلمون,علم,1152.0
2:26,16,أنه,,
2:26,17,لحق,لحق,1505.0
2:26,18,من,,
2:26,19,ربهم,,
2:26,20,وأما,,
2:26,21,لذين,,
2:26,22,كفروا,كفر,1462.0
2:26,23,فيقولون,قول,1418.0
2:26,24,ماذا,,
2:26,25,أراد,,
2:26,26,لله,,
2:26,27,بهذا,,
2:26,28,مثلا,مثل,1561.0
2:26,29,يضل,,
2:26,30,به,,
2:26,31,كثيرا,,
2:26,32,ويهدى,هدى,1756.0
2:26,33,به,,
2:26,34,كثيرا,,
2:26,35,وما,,
2:26,36,يضل,,
2:26,37,به,,
2:26,38,إلا,,
2:26,39,لفسقين,فسق,1282.0
2:27,1,لذين,,
2:27,2,ينقضون,نقض,1713.0
2:27,3,عهد,عهد,1169.0
2:27,4,لله,,
2:27,5,من,,
2:27,6,بعد,بعد,143.0
2:27,7,ميثقه,,
2:27,8,ويقطعون,قطع,1382.0
2:27,9,ما,,
2:27,10,أمر,,
2:27,11,لله,,
2:27,12,به,,
2:27,13,أن,,
2:27,14,يوصل,وصل,1836.0
2:27,15,ويفسدون,فسد,1279.0
2:27,16,فى,,
2:27,17,لأرض,,
2:27,18,أولئك,,
2:27,19,هم,,
2:27,20,لخسرون,خسر,445.0
2:28,1,كيف,,
2:28,2,تكفرون,كفر,1462.0
2:28,3,بلله,بلل,166.0
2:28,4,وكنتم,,
2:28,5,أموتا,موت,1613.0
2:28,6,فأحيكم,,
2:28,7,ثم,,
2:28,8,يميتكم,,
2:28,9,ثم,,
2:28,10,يحييكم,حيي,414.0
2:28,11,ثم,,
2:28,12,إليه,,
2:28,13,ترجعون,رجع,597.0
2:29,1,هو,هو,1783.0
2:29,2,لذى,,
2:29,3,خلق,خلق,473.0
2:29,4,لكم,,
2:29,5,ما,,
2:29,6,فى,,
2:29,7,لأرض,,
2:29,8,جميعا,,
2:29,9,ثم,,
2:29,10,ستوى,,
2:29,11,إلى,,
2:29,12,لسماء,,
2:29,13,فسوىهن,سوى,847.0
2:29,14,سبع,سبع,743.0
2:29,15,سموت,موت,1613.0
2:29,16,وهو,هو,1783.0
2:29,17,بكل,,
2:29,18,شىء,,
2:29,19,عليم,,
2:30,1,وإذ,,
2:30,2,قال,,
2:30,3,ربك,,
2:30,4,للملئكة,,
2:30,5,إنى,,
2:30,6,جاعل,,
2:30,7,فى,,
2:30,8,لأرض,,
2:30,9,خليفة,,
2:30,10,قالوا,,
2:30,11,أتجعل,جعل,275.0
2:30,12,فيها,,
2:30,13,من,,
2:30,14,يفسد,فسد,1279.0
2:30,15,فيها,,
2:30,16,ويسفك,سفك,794.0
2:30,17,لدماء,,
2:30,18,ونحن,,
2:30,19,نسبح,سبح,741.0
2:30,20,بحمدك,حمد,385.0
2:30,21,ونقدس,قدس,1344.0
2:30,22,لك,,
2:30,23,قال,,
2:30,24,إنى,,
2:30,25,أعلم,علم,1152.0
2:30,26,ما,,
2:30,27,لا,,
2:30,28,تعلمون,علم,1152.0
2:31,1,وعلم,علم,1152.0
2:31,2,ءادم,,
2:31,3,لأسماء,,
2:31,4,كلها,,
2:31,5,ثم,,
2:31,6,عرضهم,عرض,1105.0
2:31,7,على,,
2:31,8,لملئكة,,
2:31,9,فقال,,
2:31,10,أنبـونى,نبو,1628.0
2:31,11,بأسماء,,
2:31,12,هؤلاء,,
2:31,13,إن,,
2:31,14,كنتم,,
2:31,15,صدقين,صدق,942.0
2:32,1,قالوا,,
2:32,2,سبحنك,سبح,741.0
2:32,3,لا,,
2:32,4,علم,علم,1152.0
2:32,5,لنا,,
2:32,6,إلا,,
2:32,7,ما,,
2:32,8,علمتنا,علم,1152.0
2:32,9,إنك,,
2:32,10,أنت,,
2:32,11,لعليم,,
2:32,12,لحكيم,,
2:33,1,قال,,
2:33,2,يـادم,,
2:33,3,أنبئهم,,
2:33,4,بأسمائهم,,
2:33,5,فلما,,
2:33,6,أنبأهم,,
2:33,7,بأسمائهم,,
2:33,8,قال,,
2:33,9,ألم,,
2:33,10,أقل,,
2:33,11,لكم,,
2:33,12,إنى,,
2:33,13,أعلم,علم,1152.0
2:33,14,غيب,غيب,1238.0
2:33,15,لسموت,سمو,824.0
2:33,16,ولأرض,,
2:33,17,وأعلم,علم,1152.0
2:33,18,ما,,
2:33,19,تبدون,بدو,104.0
2:33,20,وما,,
2:33,21,كنتم,,
2:33,22,تكتمون,كتم,1431.0
2:34,1,وإذ,,
2:34,2,قلنا,,
2:34,3,للملئكة,,
2:34,4,سجدوا,سجد,749.0
2:34,5,لءادم,,
2:34,6,فسجدوا,سجد,749.0
2:34,7,إلا,,
2:34,8,إبليس,ليس,1555.0
2:34,9,أبى,,
2:34,10,وستكبر,كبر,1428.0
2:34,11,وكان,,
2:34,12,من,,
2:34,13,لكفرين,كفر,1462.0
2:35,1,وقلنا,,
2:35,2,يـادم,,
2:35,3,سكن,سكن,808.0
2:35,4,أنت,,
2:35,5,وزوجك,زوج,727.0
2:35,6,لجنة,,
2:35,7,وكلا,وكل,1862.0
2:35,8,منها,,
2:35,9,رغدا,رغد,636.0
2:35,10,حيث,,
2:35,11,شئتما,,
2:35,12,ولا,,
2:35,13,تقربا,قرب,1350.0
2:35,14,هذه,,
2:35,15,لشجرة,شجر,860.0
2:35,16,فتكونا,كون,1489.0
2:35,17,من,,
2:35,18,لظلمين,ظلم,1066.0
2:36,1,فأزلهما,لهم,1548.0
2:36,2,لشيطن,,
2:36,3,عنها,,
2:36,4,فأخرجهما,خرج,433.0
2:36,5,مما,,
2:36,6,كانا,,
2:36,7,فيه,,
2:36,8,وقلنا,,
2:36,9,هبطوا,هبط,1746.0
2:36,10,بعضكم,بعض,145.0
2:36,11,لبعض,بعض,145.0
2:36,12,عدو,عدو,1097.0
2:36,13,ولكم,,
2:36,14,فى,,
2:36,15,لأرض,,
2:36,16,مستقر,,
2:36,17,ومتع,متع,1558.0
2:36,18,إلى,,
2:36,19,حين,حين,413.0
2:37,1,فتلقى,فتل,1250.0
2:37,2,ءادم,,
2:37,3,من,,
2:37,4,ربه,,
2:37,5,كلمت,كلم,1471.0
2:37,6,فتاب,,
2:37,7,عليه,,
2:37,8,إنه,,
2:37,9,هو,هو,1783.0
2:37,10,لتواب,,
2:37,11,لرحيم,,
2:38,1,قلنا,,
2:38,2,هبطوا,هبط,1746.0
2:38,3,منها,,
2:38,4,جميعا,,
2:38,5,فإما,,
2:38,6,يأتينكم,تين,208.0
2:38,7,منى,,
2:38,8,هدى,هدى,1756.0
2:38,9,فمن,,
2:38,10,تبع,تبع,187.0
2:38,11,هداى,,
2:38,12,فلا,,
2:38,13,خوف,خوف,491.0
2:38,14,عليهم,,
2:38,15,ولا,,
2:38,16,هم,,
2:38,17,يحزنون,حزن,345.0
2:39,1,ولذين,,
2:39,2,كفروا,كفر,1462.0
2:39,3,وكذبوا,كذب,1439.0
2:39,4,بـايتنا,,
2:39,5,أولئك,,
2:39,6,أصحب,صحب,933.0
2:39,7,لنار,,
2:39,8,هم,,
2:39,9,فيها,,
2:39,10,خلدون,خلد,468.0
2:40,1,يبنى,,
2:40,2,إسرءيل,,
2:40,3,ذكروا,ذكر,566.0
2:40,4,نعمتى,نعم,1693.0
2:40,5,لتى,,
2:40,6,أنعمت,نعم,1693.0
2:40,7,عليكم,,
2:40,8,وأوفوا,,
2:40,9,بعهدى,عهد,1169.0
2:40,10,أوف,,
2:40,11,بعهدكم,عهد,1169.0
2:40,12,وإيى,,
2:40,13,فرهبون,رهب,667.0
2:41,1,وءامنوا,منو,1609.0
2:41,2,بما,,
2:41,3,أنزلت,نزل,1656.0
2:41,4,مصدقا,صدق,942.0
2:41,5,لما,,
2:41,6,معكم,,
2:41,7,ولا,,
2:41,8,تكونوا,كون,1489.0
2:41,9,أول,,
2:41,10,كافر,,
2:41,11,به,,
2:41,12,ولا,,
2:41,13,تشتروا,,
2:41,14,بـايتى,,
2:41,15,ثمنا,ثمن,232.0
2:41,16,قليلا,ليل,1556.0
2:41,17,وإيى,,
2:41,18,فتقون,فتق,1249.0
2:42,1,ولا,,
2:42,2,تلبسوا,لبس,1498.0
2:42,3,لحق,لحق,1505.0
2:42,4,بلبطل,بطل,139.0
2:42,5,وتكتموا,كتم,1431.0
2:42,6,لحق,لحق,1505.0
2:42,7,وأنتم,,
2:42,8,تعلمون,علم,1152.0
2:43,1,وأقيموا,,
2:43,2,لصلوة,صلو,967.0
2:43,3,وءاتوا,,
2:43,4,لزكوة,زكو,709.0
2:43,5,وركعوا,ركع,655.0
2:43,6,مع,,
2:43,7,لركعين,ركع,655.0
2:44,1,أتأمرون,مرو,1578.0
2:44,2,لناس,,
2:44,3,بلبر,,
2:44,4,وتنسون,وتن,1801.0
2:44,5,أنفسكم,نفس,1702.0
2:44,6,وأنتم,,
2:44,7,تتلون,تلو,202.0
2:44,8,لكتب,كتب,1429.0
2:44,9,أفلا,,
2:44,10,تعقلون,عقل,1146.0
2:45,1,وستعينوا,عين,1183.0
2:45,2,بلصبر,صبر,928.0
2:45,3,ولصلوة,صلو,967.0
2:45,4,وإنها,,
2:45,5,لكبيرة,,
2:45,6,إلا,,
2:45,7,على,,
2:45,8,لخشعين,خشع,450.0
2:46,1,لذين,,
2:46,2,يظنون,نون,1742.0
2:46,3,أنهم,,
2:46,4,ملقوا,ملق,1604.0
2:46,5,ربهم,,
2:46,6,وأنهم,,
2:46,7,إليه,,
2:46,8,رجعون,رجع,597.0
2:47,1,يبنى,,
2:47,2,إسرءيل,,
2:47,3,ذكروا,ذكر,566.0
2:47,4,نعمتى,نعم,1693.0
2:47,5,لتى,,
2:47,6,أنعمت,نعم,1693.0
2:47,7,عليكم,,
2:47,8,وأنى,,
2:47,9,فضلتكم,فضل,1291.0
2:47,10,على,,
2:47,11,لعلمين,علم,1152.0
2:48,1,وتقوا,,
2:48,2,يوما,يوم,1884.0
2:48,3,لا,,
2:48,4,تجزى,جزى,270.0
2:48,5,نفس,نفس,1702.0
2:48,6,عن,,
2:48,7,نفس,نفس,1702.0
2:48,8,شيـا,,
2:48,9,ولا,,
2:48,10,يقبل,قبل,1333.0
2:48,11,منها,,
2:48,12,شفعة,شفع,890.0
2:48,13,ولا,,
2:48,14,يؤخذ,,
2:48,15,منها,,
2:48,16,عدل,عدل,1095.0
2:48,17,ولا,,
2:48,18,هم,,
2:48,19,ينصرون,نصر,1674.0
2:49,1,وإذ,,
2:49,2,نجينكم,,
2:49,3,من,,
2:49,4,ءال,,
2:49,5,فرعون,فرع,1271.0
2:49,6,يسومونكم,سوم,846.0
2:49,7,سوء,,
2:49,8,لعذاب,,
2:49,9,يذبحون,ذبح,555.0
2:49,10,أبناءكم,,
2:49,11,ويستحيون,,
2:49,12,نساءكم,,
2:49,13,وفى,وفى,1850.0
2:49,14,ذلكم,,
2:49,15,بلاء,,
2:49,16,من,,
2:49,17,ربكم,بكم,160.0
2:49,18,عظيم,,
2:50,1,وإذ,,
2:50,2,فرقنا,فرق,1273.0
2:50,3,بكم,بكم,160.0
2:50,4,لبحر,بحر,93.0
2:50,5,فأنجينكم,,
2:50,6,وأغرقنا,غرق,1197.0
2:50,7,ءال,,
2:50,8,فرعون,فرع,1271.0
2:50,9,وأنتم,,
2:50,10,تنظرون,نظر,1687.0
2:51,1,وإذ,,
2:51,2,وعدنا,عدن,1096.0
2:51,3,موسى,,
2:51,4,أربعين,ربع,586.0
2:51,5,ليلة,ليل,1556.0
2:51,6,ثم,,
2:51,7,تخذتم,,
2:51,8,لعجل,عجل,1091.0
2:51,9,من,,
2:51,10,بعده,بعد,143.0
2:51,11,وأنتم,,
2:51,12,ظلمون,ظلم,1066.0
2:52,1,ثم,,
2:52,2,عفونا,عفو,1141.0
2:52,3,عنكم,عنك,1166.0
2:52,4,من,,
2:52,5,بعد,بعد,143.0
2:52,6,ذلك,,
2:52,7,لعلكم,,
2:52,8,تشكرون,شكر,897.0
2:53,1,وإذ,,
2:53,2,ءاتينا,تين,208.0
2:53,3,موسى,,
2:53,4,لكتب,كتب,1429.0
2:53,5,ولفرقان,فرق,1273.0
2:53,6,لعلكم,,
2:53,7,تهتدون,دون,550.0
2:54,1,وإذ,,
2:54,2,قال,,
2:54,3,موسى,,
2:54,4,لقومه,قوم,1419.0
2:54,5,يقوم,قوم,1419.0
2:54,6,إنكم,,
2:54,7,ظلمتم,ظلم,1066.0
2:54,8,أنفسكم,نفس,1702.0
2:54,9,بتخاذكم,,
2:54,10,لعجل,عجل,1091.0
2:54,11,فتوبوا,فتو,1252.0
2:54,12,إلى,,
2:54,13,بارئكم,,
2:54,14,فقتلوا,قتل,1336.0
2:54,15,أنفسكم,نفس,1702.0
2:54,16,ذلكم,,
2:54,17,خير,,
2:54,18,لكم,,
2:54,19,عند,عند,1164.0
2:54,20,بارئكم,,
2:54,21,فتاب,,
2:54,22,عليكم,,
2:54,23,إنه,,
2:54,24,هو,هو,1783.0
2:54,25,لتواب,,
2:54,26,لرحيم,,
2:55,1,وإذ,,
2:55,2,قلتم,,
2:55,3,يموسى,,
2:55,4,لن,,
2:55,5,نؤمن,,
2:55,6,لك,,
2:55,7,حتى,,
2:55,8,نرى,,
2:55,9,لله,,
2:55,10,جهرة,جهر,297.0
2:55,11,فأخذتكم,,
2:55,12,لصعقة,صعق,952.0
2:55,13,وأنتم,,
2:55,14,تنظرون,نظر,1687.0
2:56,1,ثم,,
2:56,2,بعثنكم,بعث,141.0
2:56,3,من,,
2:56,4,بعد,بعد,143.0
2:56,5,موتكم,موت,1613.0
2:56,6,لعلكم,,
2:56,7,تشكرون,شكر,897.0
2:57,1,وظللنا,ظلل,1065.0
2:57,2,عليكم,,
2:57,3,لغمام,,
2:57,4,وأنزلنا,نزل,1656.0
2:57,5,عليكم,,
2:57,6,لمن,,
2:57,7,ولسلوى,لوى,1554.0
2:57,8,كلوا,كلو,1472.0
2:57,9,من,,
2:57,10,طيبت,طيب,1059.0
2:57,11,ما,,
2:57,12,رزقنكم,رزق,616.0
2:57,13,وما,,
2:57,14,ظلمونا,ظلم,1066.0
2:57,15,ولكن,,
2:57,16,كانوا,,
2:57,17,أنفسهم,نفس,1702.0
2:57,18,يظلمون,ظلم,1066.0
2:58,1,وإذ,,
2:58,2,قلنا,,
2:58,3,دخلوا,دخل,509.0
2:58,4,هذه,,
2:58,5,لقرية,قري,1361.0
2:58,6,فكلوا,كلو,1472.0
2:58,7,منها,,
2:58,8,حيث,,
2:58,9,شئتم,,
2:58,10,رغدا,رغد,636.0
2:58,11,ودخلوا,دخل,509.0
2:58,12,لباب,,
2:58,13,سجدا,سجد,749.0
2:58,14,وقولوا,قول,1418.0
2:58,15,حطة,,
2:58,16,نغفر,غفر,1215.0
2:58,17,لكم,,
2:58,18,خطيكم,,
2:58,19,وسنزيد,وسن,1830.0
2:58,20,لمحسنين,لمح,1541.0
2:59,1,فبدل,بدل,102.0
2:59,2,لذين,,
2:59,3,ظلموا,ظلم,1066.0
2:59,4,قولا,قول,1418.0
2:59,5,غير,غير,1240.0
2:59,6,لذى,,
2:59,7,قيل,قيل,1422.0
2:59,8,لهم,لهم,1548.0
2:59,9,فأنزلنا,نزل,1656.0
2:59,10,على,,
2:59,11,لذين,,
2:59,12,ظلموا,ظلم,1066.0
2:59,13,رجزا,رجز,595.0
2:59,14,من,,
2:59,15,لسماء,,
2:59,16,بما,,
2:59,17,كانوا,,
2:59,18,يفسقون,فسق,1282.0
2:60,1,وإذ,,
2:60,2,ستسقى,سقى,803.0
2:60,3,موسى,,
2:60,4,لقومه,قوم,1419.0
2:60,5,فقلنا,,
2:60,6,ضرب,ضرب,997.0
2:60,7,بعصاك,,
2:60,8,لحجر,حجر,322.0
2:60,9,فنفجرت,فجر,1254.0
2:60,10,منه,,
2:60,11,ثنتا,,
2:60,12,عشرة,عشر,1120.0
2:60,13,عينا,عين,1183.0
2:60,14,قد,,
2:60,15,علم,علم,1152.0
2:60,16,كل,,
2:60,17,أناس,,
2:60,18,مشربهم,شرب,867.0
2:60,19,كلوا,كلو,1472.0
2:60,20,وشربوا,شرب,867.0
2:60,21,من,,
2:60,22,رزق,رزق,616.0
2:60,23,لله,,
2:60,24,ولا,,
2:60,25,تعثوا,عثو,1086.0
2:60,26,فى,,
