root_id,root_letters,description,category
82,بأر,حَفْرٌ في ظاهر الأرض ممتد إلى جوفها,ب ر
83,بأس,جفاف أو حِدّة تخالط الجوف أو الحَوْزة,ب س
84,بتت,منع امتداد الشيء بجعله قصيرًا، أو قطعه,ب ت
85,بتر,قَطْعُ ما يمتدُّ من الشيء دقيقًا، أو ضعيفًا,ب ت
86,بتك,القطع بدقة وحِدّة,ب ت
87,بتل,تميُّز الشيء – أو انفصاله – عن أصله جامعًا لما يجعله وافرًا قائمًا بذاته,ب ت
88,بثث,نشرُ ما كان مجتمعًا منضمًا، وتفريقه,ب ث
89,بجج,تفتُّق أثناء الشيء أو تفتُّحه واتساعه؛ فيضخُم الشيء، ويكون رِخوًا هَشًّا,ب ج
90,بجس,تفجُّر سائل بقوة من شيء كثيف الجِرْم,ب ج
91,بحث,فحص الدِّقاق المتراكمة كالتراب ونحوه وإخراجها نثرًا متفرقًا,ب ح
92,بحح,فراغ الشيء أو تفرُّغه مما يُشغَل به عادةً أو توقعًا,ب ح
93,بحر,شَقٌّ عظيم أو فجوة عظيمة في جِرْم شديد تشغلها مادة مسترسلة الحركة,ب ح
94,بخخ,عِظَمُ ظاهر الشيء مع تخلخله وذَهاب حِدّته أو غِلَظه من أثنائه,ب خ
95,بخس,نَقْصٌ في الأثناء (لنفاذ ما كان أو ما العادة أن يكون فيها) مع امتداد,ب خ
96,بخع,استفراغ قوة الشيء أو قوامه الغضّ الذي في باطنه منه بقوة,ب خ
97,بخل,إمساك ما يتطلّب ويمكن إخراجه، أي عدم إرساله,ب خ
98,بدأ,ظهور الشيء أو تكوُّنه لأول مرة,ب د
99,بدد,تفريق ممتد أو إبعاد دائم يلزمه حدوث فراغ,ب د
100,بدر,زيادة في جِرْم الشيء، وسَبْقٌ يبلغ به كمال حاله,ب د
101,بدع,إنشاء الشيء جديدًا على غير أصلٍ سَبَق,ب د
102,بدل,حلول شيء محلّ شيء (وجود هذا لاختفاء ذاك),ب د
103,بدن,كُتلة عِظْمِ الحي التي تتفرع منها أطرافه وتمتد,ب د
104,بدو,بروز بقوة أو تجسُّم مع امتداد وحَوْز,ب د
105,بذذ,عدم اتّساق الشيء بعضه مع بعض بتماسكه,ب ذ
106,بذر,نثر الدِّقاق المتجمعة أو انتشارها وتفرّقها منثورةً على الأرض,ب ذ
107,برأ,سلامة الحيّ وخلوصه مما يكتنفه، أو يتنقّصه,ب ر
108,برج,بروز ناصع قوي من بين ما يكتنفه في ظاهر الشيء,ب ر
109,برح,زوال الشيء من مقره باتساع مع جفاف، أو شدّة,ب ر
110,برد,تقلُّص الشيء المتسيّب؛ فيتداخل أو يتجمد؛ فلا يمتد,ب ر
111,برر,تجرُّد مع انبساط عظيم وجفاف بلا كثافة,ب ر
112,برز,خلوص الشيء أو ظهوره ظهورًا قويًّا؛ أي نفاذه من بين ما يكتنفه بجهد وقوة,ب ر
113,برزخ,معبر باطني جوفي من خلال حاجز بين أشياء,ب ر
114,برص,وَضَحٌ قوي البياض في جزء أو أجزاء من أديم الشيء؛ أي ظاهره العريض,ب ر
115,برق,بروز من العمق إلى الظاهر بحدّة ودقة لمعانٍ أو تميّز,ب ر
116,برك,ثبات واستمرار مع لُطف,ب ر
117,برم,لأم شيئين أو أشياء معًا لأمًا شديدًا بحيث لا تتسيّب ولا تنتشر,ب ر
118,بره,امتلاء باطن الشيء بلطيف يُصلحه ويُجمِّل ظاهره,ب ر
119,برو,تسوية الشيء بقَشْر ما يعرو ظاهره,ب ر
120,بزز,نفاذ الشيء من مضيق يحصره بضغط وعَصْر,ب ز
121,بزغ,نفاذ جِرْم حادّ من بين ما يُغيِّبه ببطء وضغط,ب ز
122,بسر,طَلَبُ الشيء قبل تهيّؤ ظروفه، أو استكراه الشيء على الانفتاح عما في باطنه,ب س
123,بسس,تسيُّب (تفتت) الدِّقاق الجافة بتسريب مائع بينها ليسهل ابتلاعها,ب س
124,بسط,تفلطُح الشيء وانفراشه، أو اتساعه (ومن هذا امتداده),ب س
125,بسق,اندفاع الشيء نافذًا أو ممتدًا من عمقه بأقوى من المعتاد,ب س
126,بسل,احتباس مع كراهة (احتباس شيء كريه طعمًا أو رائحةً في أثناء الشيء),ب س
127,بسم,كَشْرُ الشفتين عن الأسنان,ب س
128,بشر,انتشار واسع على ظاهر الشيء,ب ش
129,بشش,انتشار وتفشٍّ لغضّ أو لطيف في ظاهر الجِرْم، أو منه,ب ش
130,بصر,إمساك أو التقاط في أثناء المتجمع أو الممتد,ب ص
131,بصص,انبعاث بريق، أو شيء جديد من مصدره، أو ما كان يحتويه بقوة,ب ص
132,بصل,تجمُّع النامي في كرة ذات حرافة,ب ص
133,بضض,اكتناز الباطن برقيق يَنْضَح على الظاهر نصاعةً، أو رِقّة,ب ض
134,بضع,فِلْذُ اللحم ونحوها مما يتجمع في قِطَع رخوة,ب ض
135,بطأ,ثقل حركة الشيء وانتقاله وكأنما أصل ذلك ثقل جِرمه من ضخامته,ب ط
136,بطر,تجمع مادة فاسدة في الباطن أو الأثناء شأنها أن يُشَقَّ عنها,ب ط
137,بطش,الثقل الشديد أو الضغط الشديد للشيء حتى يكاد يسحق ما تحته,ب ط
138,بطط,الشق عن المتجمع الرخو لإفراغه,ب ط
139,بطل,اختزان قوة عظيمة,ب ط
140,بطن,التعبير عن الجوف الداخلي للشيء حيث يُخفى فيه ما يدخل إليه,ب ط
141,بعث,إثارة (الحي) من مكان يلزمه بقوة فيندفع ناهضًا أو مبتعدًا,ب ع
142,بعثر,تفريق الشيء المستقر أو تقليبه بلا نظام,ب ع
143,بعد,مفارقة جِرْم الشيء آخرَ معينًا بمسافة ممتدة تحجزه عن ملاقاته,ب ع
144,بعر,مفارقة للجوف أو الحيز مع تميّز (أو انتظام) وتوالٍ,ب ع
145,بعض,أخْذُ (اقتطاع) جزء مما يحتويه الشيء,ب ع
146,بعع,خروج المائع ونحوه مما يضمه بغزارة ويلزمه خواء وعائه,ب ع
147,بعل,استقلال الشيء في تحصيل ما به قوامه مائيًّا,ب ع
148,بغت,المفاجأة بشديد، أو مكروه,ب غ
149,بغض,احتواء القلب على مشاعر غليظة (من باب الكره والعداوة),ب غ
150,بغغ,فَوَران الشيء أو امتلاؤه بما هو غَضٌّ له حِدّةٌ ما,ب غ
151,بغل,اختلاط سلالة الحي بسلالة جنس أغلظ منه؛ فيبقى أثره فيها,ب غ
152,بغو,تزايد الشيء نموًا وقوةً، أو تَوصُّلًا لاكتمال حاله,ب غ
153,بقر,انفتاح جوف الشيء عما فيه باتساع,ب ق
154,بقع,ظهور مساحات محددة الاتساع تتميز بحدة في ظاهر نافذة إليه,ب ق
155,بقق,كثرة الخارج من الجوف من امتلائه بكثير,ب ق
156,بقل,نبات (أو شيء ينبت) ضعيفًا في ظاهر شيء,ب ق
157,بقو,دوام وجود الشيء في الجوف لا يفنى,ب ق
158,بكر,صدور شيء من أصله لأول مرة قبل ما يصدر بعده من نفس الأصل من جنسه,ب ك
159,بكك,ضغط يؤدي إلى تداخل جِرْم الشيء وانضغاطه بعضه في بعض,ب ك
160,بكم,انسداد أعلى الشيء على ما يمتلئ به جوفه؛ فلا ينفذ منه شيء,ب ك
161,بكى,خروج المائع من جوف الشيء قليلاً قليلاً بنحو الاعتصار,ب ك
162,بلد,إصماتُ ظاهر متسع بحيث يحتبس فيه (أي لا ينفذ منه) ما يُتوقع نفاذه,ب ن
163,بلس,اشتمال باطن الشيء على حِدّة لا تظهر,ب ن
164,بلع,جَذْب الشيء إلى الجوف بقوة,ب ن
165,بلغ,وصول الشيء إلى غاية له,ب ن
166,بلل,تَحَصُّل لطيف في الأثناء بتمكّن,ب ل
167,بلو,شدة تَحُوز الشيء - أو حَوْز الشيء بشدة - لمدى طويل,ب ل
168,بنن,امتداد الشيء اللطيف من أصله، أو فيه,ب ن
169,بنو,زيادة قوية تنشأ للشيء؛ فتقيمه وتُنصبه، أو تُعظّمه وتمدّ جِرْمَه,ب ن
170,بهـت,انكسار الحِدّة، أو الصلابة والنخوة (لشدة، أو قهر),ب هـ
171,بهـج,انشراح الصدر وسروره لبديع منظرٍ ناشئ من باطن,ب هـ
172,بهـل,الخُلُوُّ مما يحفظ حَجْبًا، أو حماية، أو رعاية,ب هـ
173,بهـم,خُلُوُّ ظاهر الشيء العريض من الفتحات أو المعالم التي تُميّز، أو تكشف,ب هـ
174,بوأ,حيّز للاستقرار مُهيّأ ومُسَوّى - أو مناسب - لما يستقر فيه,ب ء
175,بوب,انفتاح مع اتصال دائم,ب ب
176,بور,توقّف الشيء عن حصول جدواه بالرغم من توافر هذه الجدوى فيه,ب ر
177,بول,احتواء مادة لطيفة في الباطن تخرج - أو يظهر - أثرها,ب ل
178,بون,امتداد بين طرفين أو جانبين مع فصل كبير، أو اتساع,ب و
179,بيب,منفذ دقيق يجري منه (أو فيه) الماء,ب ب
180,بيت,حَيّز محيط يُسكَنُ فيه، أي يُستَقَرُّ,ب ت
181,بيد,خلوُّ البراح الواسع الممتد مما ينبت في مثله مع جلادة ظاهره,ب د
182,بيض,تجرُّد الظاهر أو استواؤه مع لمعان واختزان، أو احتباس,ب ض
183,بيع,انتقال ما في الحَوْزة بجِرْمه كله إلى حَوْزة أخرى,ب ع
184,تبب,ذهاب غلظ الشيء وشدته من ضغط حاد عليه,ت ب
185,تبت,صندوق يُحفظ فيه الشيء، أي يثبت حفظا وثباتا دائما,ت ب
186,تبر,تفتت الشيء قطعًا دقيقة كثيرة,ت ب
187,تبع,لحوق الشيء بمتقدم أو سابق بلا فصل مع رقة ولين,ت ب
188,تجر,العمل طلبًا للأجر,ت ج
189,تحت,كون الشيء أسفل جِرم آخر كأنه لاصق بأسفله,ت ح
190,تحتح,تحرك الشيء من مكانه بثقل واحتكاك بالمكان,ت ح
191,ترب,تراكم أو توالي أشياء دقيقة أو ناعمة في ظاهر الشيء لاصقة أو عالقة به,ت ر
192,ترر,طفر الشيء الدقيق مبتعدًا عن مقره - أومنفصلا عنه - باندفاع,ت ر
193,ترف,امتلاء الشيء بالري والرخاوة حتى ينتبر متميزًا عما حوله,ت ر
194,ترك,مفارقة الشيء ما كان يعلق به فيبقى بلا حاجة إليه او تصرف فيه,ت ر
195,تسع,يرتبط بالعدد تسعة,ت س
196,تعس,سقوط الإنسان بانكباب على وجهه,ت ع
197,تفث,انتشار الوسخ ونحوه مما يُفرزه الجسم أو يعلق به - عليه,ت ف
198,تفف,وسخ أو أذى يُفرَز أو يتراكم على ظاهر الشيء,ت ف
199,تقتق,اندفاع الشيء إلى العمق أو نحوه بشدة,ت ق
200,تقن,مادة جودة الشيء في بابه أو جنسه,ت ق
201,تلل,تكديس بالضغط إلى أسفل حتى يصير الشيء جثا رابيا متماسكا,ت ل
202,تلو,اتباع الشيء ما يسبقه لحوقًا به من خلفه,ت ل
203,تمم,استيفاء جرم الشيء حجمه متميزًا عن غيره,ت م
204,تنر,امتلاء الجوف بشيء لطيف الجرم أو الحركة ينفذ منه,ت ن
205,تنن,انضغاط الشيء على نفسه فلا يمتد جرمه,ت ن
206,توب,توقف الشخص وانقطاعه عما كان يعمله من الذنوب ونحوها لرقة اعترته,ت ب
207,تور,دور الشيء راجعًا إلى ما فارقه أو تردده عليه بخفة,ت ر
208,تين,وجود أشياء دقيقة في أثناء شيء رخو لطيف,ت ن
209,تيهـ,التحير في فضاء أو فراغ لا معالم فيه,ت هـ
210,ثبب,استقرار الشخص على الأرض متجمعًا بعد انتشار ما,ث ب
211,ثبت,متانة ارتباط الشيء المتنقل بما لزّ به أو قام عليه فلا يتحلحل,ث ب
212,ثبر,تجمع الشيء انقباضًا أو تقبضًا وعدم انتشار,ث ب
213,ثبط,ثقل الشيء في مكانه بحيث لا يكاد يفارقه,ث ب
214,ثبو,تجمع المتفرق تجمعًا جزئيًا هنا وهناك أو مرة بعد أخرى,ث ب
215,ثجج,غزارة المائع الناشئ أو الخارج حتى يتجمع منه قدر كثيف,ث ج
216,ثخخ,رخاوة الجرم الكثيف من كثرة الماء في أثنائه,ث خ
217,ثخن,كثافة الشيء وغلظ سمكه مع رخاوة تتخلل أثناءه,ث خ
218,ثرب,لصوق طبقة دقيقة على ظاهر الشيء حادة الوقع على الحس,ث ر
219,ثرر,غزارة المائع المنبثق أو الخارج من شيء,ث ر
220,ثرى,تخلل الندى ونحوه أثناء جرم باستر سال,ث ر
221,ثعب,خروج المائع أو شبهه متصلًا أو ممتدًا متماسكًا من ثقب أو شبهه,ث ع
222,ثعع,خروج ما تجمع (من دقاق في باطن) كتلة ملتحمة الجرم رخوة,ث ع
223,ثقب,اختراق دقيق لعمق شيء متين,ث ق
224,ثقف,تمكّن يبلغ به إتقان أحوال الشيء وأحكمها,ث ق
225,ثقق,خروج كلام فج غليظ يوحي بثقل الذهن,ث ق
226,ثقل,انجذاب الشيء المحمول إلى الأرض أو إلى أسفل تبعًا لما تجمع فيه من مادة,ث ق
227,ثلث,إمساك وتعلق لبضع حبات أو أشياء,ث ل
228,ثلل,تجمع من دقاق متنوعة تتناشب وتتميز أو تنفصل من أصلها,ث ل
229,ثمد,قلة الماء الخارج لشدة احتباسه في مجتمعه,ث م
230,ثمر,ما ينعقد على أطراف الشجر من حمله إذا بلغ ينعه,ث م
231,ثمم,ضم دقاق بكثافة وتخلخل ما,ث م
232,ثمن,ضم الشيء وجمعه في الجوف,ث م
233,ثنن,تبطن دقاق متجمعة طيّ شيء,ث ن
234,ثنى,طي الشيء وإدخال أجزاء منه في أحنائه,ث ن
235,ثوب,رجوع الشيء المتفرق الذاهب وتجمعه في نفس مكانه ثانية,ث ب
236,ثور,انتشار (حاد) كامن في عمق الشيء إلى حيث يرى في ظاهره,ث ر
237,ثوى,لمّ المنتشر المتفرق وجمعه في ما يؤويه,أ ث
238,جأر,اندفاع الشيء الغض من مصدره بقوة: كثرة أو امتداد,ج ر
239,جبب,استواء المتجسم ظاهريًا بالقطع,ج ب
240,جبت,كل ما عبد من دون الله,ج ب
241,جبر,اشتداد وامتداد ذاتي يتجاوز ضعفًا أو خللًا طارئًا,ج ب
242,جبل,تجمع عظيم شديد الأثناء مع غلظ هيأة,ج ب
243,جبن,تجمد ظاهر الجرم على خلاء أو رقة في أثنائه,ج ب
244,جبه,المواجهة بصلب عريض في مقدم الشيء ليس فيه رخاوة,ج ب
245,جبو,استخراج بقوة أو كثرة للماء ونحوه إلى حيز جامع كبير,ج ب
246,جثث,تميز كتلة كثيفة ذات حجم اقتلاعًا أو ارتفاعًا,ج ث
247,جثم,تلبد الشيء الكثيف بالأرض متجمعًا بارتفاع ما,ج ث
248,جثو,تحجم تراكمي يغلظ من فقد الارتفاع أو عدمه,ج ث
249,جحح,عظم الشيء من امتلاء باطنه بغليظ أو حاد,ج ح
250,جحد,جفاف الباطن ويبسه على ما يتجمع فيه من قوى فلا تنبسط,ج ح
251,جحم,بؤرة متوقدة الأثناء توقد أثناء الشيء الجسيم حدة مع غلظه,ج ح
252,جدث,نبث التراب وإخراجه بقوة من قطعة عريضة من الأرض,ج د
253,جدد,عظم الجرم مع تماسكه مستويًا ممتدًا أو منبسطًا,ج د
254,جدر,نتوء جرم غليظ أو قوي إلى أعلى فوق ظاهر شيء,ج د
255,جدل,امتداد الشيء شديد الأثناء بالتفاف بعضه على بعض أو التفاف مثله عليه,ج د
256,جذذ,كسر الصلب أو قطع الشديد الغليظ,ج ذ
257,جذع,مقاربة النامي انتصابًا كمال نموه,ج ذ
258,جذو,امتداد الشيء الصلب قائمًا مستغلظًا بنفسه أو بحمل شيء,ج ذ
259,جرح,قطع أو قشر الجزء من ظاهر جسم باحتكاك أو نحوه,ج ر
260,جرد,تكشف ظاهر الجسم الممتد أو عريه مما يغطيه,ج ر
261,جرر,سحب الجرم المتجمع باستر سال وامتداد,ج ر
262,جرز,تجرد سطح الأرض ليبس باطنها فلا تنبت شيئًا,ج ر
263,جرع,تعاقب الغلظ والرقة في مادة الجسم الممتد,ج ر
264,جرف,قطع وإزالة من أصل جسم الشيء الرخو,ج ر
265,جرم,حصد عذوق التمر المعلقة بالنخل تجريدًا بعد تمام حاله,ج ر
266,جرى,انتقال بحركة خفيفة سريعة مسترسلة متصلة,ج ر
267,جزأ,طرف أو بعض من الشيء مقدر يُقبض أو يحاط به,ج ز
268,جزز,انجفال الشيء عن غيره أو تميزه ناشبًا بعضه في بعض بقوة,ج ز
269,جزع,انقطاع وسط الشيء مع التئام ظاهره أو اتصاله,ج ز
270,جزى,العائد المحصل من الشيء مقابل معالجته,ج ز
271,جسد,تجمد الجرم كتلةً مشبعة المسام يابسة,ج س
272,جسس,نفاذ إلى باطن الشيء بدقة ولطف,ج س
273,جسم,تكثل مادي له طول وعرض وعمق,ج س
274,جعع,تجوف أرضي واسع,ج ع
275,جعل,تحويل الشيء إلى وضع أو هيئة معينة بعد تحول كتلته أو انتقالها,ج ع
276,جفأ,دفع الشيء بعيدًا بما يخرج من أثنائه أو يتجمع على سطحه,ج ف
277,جفف,يبس الشيء المحيط برقيق وغلظه بحيث لا يكون في أثنائه بلل,ج ف
278,جفن,غلاف للشيء العظيم أو المهم يسعه ويغطيه أو يحفظه,ج ف
279,جفو,تباعد الشيء عن مقره الذي حقه أن يستقر فيه,ج ف
280,جلب,إلحاق الشيء بمكان أو مقر غريب عنه يلزمه مع اتساع,ج ل
281,جلد,غلاف بالغ التماسك والشدة يكسو ظاهر الشيء لاصقًا به,ج ل
282,جلس,ارتفاع أو نتوء محدود مع تجمع جرم وشدة تماسك,ج ل
283,جلل,تغطية عظيمة أي شاملة يقصد بها الصون والحفظ,ج ل
284,جلو,انزياح ما هو كالطبقة الواسعة المغطى به فينكشف,ج ل
285,جمح,اندفاع مع صلابة في الشيء المجتمع بحيث لا ينثني,ج م
286,جمد,تصلب المائع وما يشبهه بتماسك بعضه في بعض مع يبس الأثناء,ج م
287,جمع,تضام أشياء متجانسة كثيرة تلاقيًا أو تلاحمًا أو تراكما,ج م
288,جمل,عظم الجرم مع تمام وتجانس حال بحسبه فيهما,ج م
289,جمم,تجمع الرقيق اللطيف مع استواء ظاهر,ج م
290,جنب,ناحية من الشيء خارجية غليظة أو شديدة تُكمل تجوفه وتحفظ ما بأثنائه,ج ن
291,جنح,امتداد أو اندفاع من الجوانب قوي أو حاد,ج ن
292,جند,صلابة الشيء وغلظه كأنما ضغط على ما فيه,ج ن
293,جنف,ميل بسبب انخساف أو نقص في جانب من الشيء,ج ن
294,جنن,ستر الشيء بكثيف يعلوه أو يكون الشيء في أثنائه,ج ن
295,جنى,تحصيل أو أخذ ثمر الشجر وما يشبهه من الأثناء التي تكنّه,ج ن
296,جهد,إفراغ قوة الشيء وقوامه الذي في باطنه فييبس ويجف,ج هـ
297,جهر,ظهور الشيء وانكشافه واضحًا بروزًا أو بزوال الكثيف الذي كان يغشاه,ج هـ
298,جهز,بروز ما شأنه أن يكون مكتنفًا بقوة أو انفصال ما من بين ما يكتنفه,ج هـ
299,جهل,خلو الباطن مما يفيد أو يطلب مع جفاف ويلزم ذلك الخفة,ج هـ
300,جهنم,بعد قعر الشيء وعمق تجوفه مع اضطمامه على هذا التجوف,ج هـ
301,جهه,رد ومنع أو حرمان شامل بغلظ,ج هـ
302,جوب,قطع وسط الشيء المجتمع الصلب أو الشديد قطعًا مستديرًا,ج ب
303,جود,قوة خروج الماء (وما هو سلس) من جوف الشيء,ج د
304,جور,دخول في حيز شيء بقوة للإقامة أو افتجاء للاحتواء,ج ر
305,جوز,عبور أو نفاذ من طرف إلى طرف,ج ز
306,جوس,تخلل واختراق بحدة لشيء,ج س
307,جوع,فراغ في جوف الشيء من ذهاب ما كان يملؤه,ج ع
308,جوف,فراغ واسع في قلب الشيء وباطنه,ج ف
309,جوو,تجوف قوي مكتنف الجوانب في جرم شيء,أ ج
310,جيأ,انحدار إلى حيز أو تجوف سفلي مهيأ جامع,أ ج
311,حبب,تجمع الدقيق - أو اللطيف - مكتنزًا معًا,ح ب
312,حبر,أثر ظاهر يُستحسن من تجمع لطيف (في الأثناء),ح ب
313,حبس,امتساك الشيء في حيز؛ لا يتسيّب أو ينفذ منه,ح ب
314,حبط,فساد ما تجمع في الجوف بكثافة لعدم تصرفه,ح ب
315,حبك,شَدُّ أَسْر المتجمع من وسطه شدًا دقيقًا متينًا,ح ب
316,حبل,ضم وثيق أو عظيم مع امتداد,ح ب
317,حتت,تفتت ما هو كالطبقة الرقيقة الجافة، أو تسيبه شيئًا بعد شيء,ح ت
318,حتم,تفتت المتماسك ظاهريًا (على ضعف) قِطَعًا منفصلة,ح ت
319,حثث,تسيب الشيء قطعًا جافةً خشنة,ح ث
320,حجب,حماية - أو ستر للشيء - بحائل قوي يحجز غيره عنه,ح ج
321,حجج,تجوف كهفي صُلب، أو متين (يحمي ضعيفًا في داخله),ح ج
322,حجر,الحفظ ومنع الاختراق لصلابة مسترسلة تحول,ح ج
323,حجز,منع (شديد) للشيء من أن يتسيب عن وضع ما,ح ج
324,حدب,انحناء الشيء بنتوء وسطه عن سائره,ح د
325,حدث,الكشف عن الشيء وإظهاره بالنحت أو الكشط,ح د
326,حدد,إيقاف الامتداد والتخطي للشيء، أي إنهاؤه، أو مَنْعه,ح د
327,حدق,الإحاطة بشيء في الوسط، أو العمق,ح د
