bi_root,tri_root,core_meaning,original_chapter
جل,جلل,تغطية عظيمة أي شاملة يقصد بها الصون والحفظ,ج ل
جل,جلو,انزياح ما هو كالطبقة الواسعة المغطى به فينكشف,ج ل
جل,وجل,الاحتواء على مائع وما إليه في الضعف وخفة الجرم زمنًا طويلًا,ج ل
جل,أجل,تجمع أو تماس مؤقت,ج ل
جل,جلب,إلحاق الشيء بمكان أو مقر غريب عنه يلزمه مع اتساع,ج ل
جل,جلد,غلاف بالغ التماسك والشدة يكسو ظاهر الشيء لاصقًا به,ج ل
جل,جلس,ارتفاع أو نتوء محدود مع تجمع جرم وشدة تماسك,ج ل
جم,جمم,تجمع الرقيق اللطيف مع استواء ظاهر,ج م
جم,جمح,اندفاع مع صلابة في الشيء المجتمع بحيث لا ينثني,ج م
جم,جمد,تصلب المائع وما يشبهه بتماسك بعضه في بعض مع يبس الأثناء,ج م
جم,جمع,تضام أشياء متجانسة كثيرة تلاقيًا أو تلاحمًا أو تراكما,ج م
جم,جمل,عظم الجرم مع تمام وتجانس حال بحسبه فيهما,ج م
جن,جنن,ستر الشيء بكثيف يعلوه أو يكون الشيء في أثنائه,ج ن
جن,جنى,تحصيل أو أخذ ثمر الشجر وما يشبهه من الأثناء التي تكنّه,ج ن
جن,جنب,ناحية من الشيء خارجية غليظة أو شديدة تُكمل تجوفه وتحفظ ما بأثنائه,ج ن
جن,جنح,امتداد أو اندفاع من الجوانب قوي أو حاد,ج ن
جن,جند,صلابة الشيء وغلظه كأنما ضغط على ما فيه,ج ن
جن,جنف,ميل بسبب انخساف أو نقص في جانب من الشيء,ج ن
جهـ,جهه,رد ومنع أو حرمان شامل بغلظ,ج هـ
جهـ,وجه,مقتبل ملامح الشيء ومقدمه المكشوف الذي يعرف به,ج هـ
جهـ,جهد,إفراغ قوة الشيء وقوامه الذي في باطنه فييبس ويجف,ج هـ
جهـ,جهر,ظهور الشيء وانكشافه واضحًا بروزًا أو بزوال الكثيف الذي كان يغشاه,ج هـ
جهـ,جهز,بروز ما شأنه أن يكون مكتنفًا بقوة أو انفصال ما من بين ما يكتنفه,ج هـ
جهـ,جهل,خلو الباطن مما يفيد أو يطلب مع جفاف ويلزم ذلك الخفة,ج هـ
جهـ,جهنم,بعد قعر الشيء وعمق تجوفه مع اضطمامه على هذا التجوف,ج هـ
حو,حوى,الانعطاف على الشيء في الأثناء، وحوزه فيها بقوة,ح و
حي,حيي,امتلاء بالطراءة التي لها حدة ما - أو فاعلية - تتمثل في رهافة الحس,ح ي
وح,وحي,تحصيل شيء في الأثناء لطيف المادة حاد الأثر، أو قويه,و ح
حب,حبب,تجمع الدقيق - أو اللطيف - مكتنزًا معًا,ح ب
حب,حوب,عَجْزُ - أو ثِقَلٌ - من ضعف,ح ب
حب,حبر,أثر ظاهر يُستحسن من تجمع لطيف (في الأثناء),ح ب
حب,حبس,امتساك الشيء في حيز؛ لا يتسيّب أو ينفذ منه,ح ب
حب,حبط,فساد ما تجمع في الجوف بكثافة لعدم تصرفه,ح ب
حب,حبك,شَدُّ أَسْر المتجمع من وسطه شدًا دقيقًا متينًا,ح ب
حب,حبل,ضم وثيق أو عظيم مع امتداد,ح ب
حت,حتت,تفتت ما هو كالطبقة الرقيقة الجافة، أو تسيبه شيئًا بعد شيء,ح ت
حت,حوت,استدارةُ الجِرْم عِظَمًا والتفافًا، أو دورانًا,ح ت
حت,حتم,تفتت المتماسك ظاهريًا (على ضعف) قِطَعًا منفصلة,ح ت
حث,حثث,تسيب الشيء قطعًا جافةً خشنة,ح ث
حث,حوث,وجود شيء تحت متراكم يخفيه فيُنبَثُ عنه,ح ث
حج,حجج,تجوف كهفي صُلب، أو متين (يحمي ضعيفًا في داخله),ح ج
حج,حوج,نقص منفعة أو طلبة، أو التعوق عنها,ح ج
حج,حجب,حماية - أو ستر للشيء - بحائل قوي يحجز غيره عنه,ح ج
حج,حجر,الحفظ ومنع الاختراق لصلابة مسترسلة تحول,ح ج
حج,حجز,منع (شديد) للشيء من أن يتسيب عن وضع ما,ح ج
حد,حدد,إيقاف الامتداد والتخطي للشيء، أي إنهاؤه، أو مَنْعه,ح د
حد,حيد,شخوص متباعد عن الاتجاه الأصلي,ح د
حد,وحد,انفراد الشيء؛ فلا يكون معه مثله,ح د
حد,أحد,انفراد الشيء؛ فلا يكون معه مثله,ح د
حد,حدب,انحناء الشيء بنتوء وسطه عن سائره,ح د
حد,حدث,الكشف عن الشيء وإظهاره بالنحت أو الكشط,ح د
حد,حدق,الإحاطة بشيء في الوسط، أو العمق,ح د
حذ,حذذ,قِصَرُ نِبْتَةِ (أو بِنْيَةِ) ما شأنه الامتداد، وسرعة انقطاعها,ح ذ
حذ,حوذ,ضم مع تواز وامتداد,ح ذ
حذ,حذر,تَوَتُّرُ أثناء الشيء، أي اشتدادها وتداخل بعضها مع غلظة ظاهره,ح ذ
حر,حرر,خلوص الشيء من الغليظ الذي يعروه,ح ر
حر,حرو,انتقاص من (ظاهر) جِرْمِ الشيء مع حَوْز لُمهمِِّ فيه,ح ر
حر,حور,تجوف مع استدارة,ح ر
حر,حير,تردُّد المائع ونحوه في مكان (مجوَّفٍ) يحيط به؛ فيُمسكه,ح ر
حر,حرب,سَلْبُ الشيء، أي سَحْبه وأخذه بقوة، أو حدّة,ح ر
حر,حرث,شق السطح الملتئم، وإثارته، بإخراج بعض ما استوى به ظاهره كُتَلًا,ح ر
حر,حرج,ضيق المكان (من كثافة الشجر العظيم المرتفع فيه),ح ر
حر,حرد,جفاف الباطن ويبسه بذهاب الندى والطراءةِ منه,ح ر
حر,حرس,بقاء الشيء بحفظه مِنْ أن ينفذ (إليه),ح ر
حر,حرص,قشر الشيء عن مقرّه قَشْرًا مبالغًا فيه,ح ر
حر,حرض,خَرْطُ مادة التماسك والحدة مما هي فيه,ح ر
حر,حرف,نهاية جانب – أو وجه من الشيء- يبدأ به جانب آخر,ح ر
حر,حرق,تحويل حاد - أو بالغ - ينال مادة الشيء وحقيقته,ح ر
حر,حرك,نُقْلة يسيرة (لطيفة) ومُقَيَّدة متردّدة,ح ر
حر,حرم,حيز ممنوع تابع لشيء,ح ر
حز,حزز,شق دقيق غير نافذ في شيء صلب,ح ز
حز,حوز,إحاطة قوية بسطح عريض كالأرض وما عَلِقَ بها,ح ز
حز,حزب,تجمع الشيء متماسكًا متكتلًا شديدًا، أو متميزًا عما حوله,ح ز
حز,حزن,جفاف وخشونة تخالط باطن الشيء، أو تمتد فيه,ح ز
